Data,1.N1,2.N1,3.N1,4.N1,5.N1,6.N1,7.N1,8.N1,9.N1,10.N1,1.REM,2.REM,3.REM,4.REM,5.REM,6.REM,7.REM,8.REM,9.REM,10.REM,1.Wake,2.Wake,3.Wake,4.Wake,5.Wake,6.Wake,7.Wake,8.Wake,9.Wake,10.Wake,11.N1,12.N1,13.N1,14.N1,15.N1,16.N1,17.N1,18.N1,19.N1,20.N1,11.REM,12.REM,13.REM,14.REM,15.REM,16.REM,17.REM,18.REM,19.REM,20.REM,11.Wake,12.Wake,13.Wake,14.Wake,15.Wake,16.Wake,17.Wake,18.Wake,19.Wake,20.Wake
alpha.C4,46.02135391,44.6636425,45.77983093,47.85973625,46.02135391,46.02135391,45.77983093,44.6636425,46.26649284,44.6636425,43.57815819,39.26822319,48.27994385,48.52944336,43.57815819,43.57815819,48.27994385,41.74450378,45.71769028,41.74450378,49.93976288,48.44099922,56.39611664,48.9712677,49.93976288,49.93976288,56.39611664,45.44940224,52.49687004,45.44940224,45.43534813,39.0166687,39.59367294,44.0798542,39.2108036,37.67695427,44.25137558,47.46434212,41.96435013,43.76643867,44.06329269,38.87772293,38.55458374,40.62524681,39.49255676,36.89201164,44.19849167,44.33785133,39.95892487,41.7690239,45.13628502,35.60833874,35.27808876,43.49333115,40.06651573,42.24390564,45.31473961,51.51204758,43.64596748,43.89434891
alpha.O1,46.30342674,47.88161926,45.75798416,48.51650238,46.30342674,46.30342674,45.75798416,47.88161926,48.64716759,47.88161926,45.9715477,46.97667923,50.50625534,52.92671661,45.9715477,45.9715477,50.50625534,47.06181374,49.2516407,47.06181374,49.54135361,51.64861183,60.3613636,52.99364204,49.54135361,49.54135361,60.3613636,51.90993042,57.58261223,51.90993042,45.61138802,43.01718063,45.60234184,50.08104706,45.62100143,46.05270157,46.99050598,49.68985291,37.40305824,45.4880703,47.90835915,41.10739975,44.39806595,48.32299995,45.92947578,44.79641495,47.11049423,48.45180969,35.52233391,47.40836678,50.88519974,41.8399353,44.04305992,51.9355999,47.10067635,54.16578369,48.55409355,57.08376694,45.54906921,47.50201225
alpha.O2,45.92762413,47.62855797,46.68729553,48.68956757,45.92762413,45.92762413,46.68729553,47.62855797,49.11789284,47.62855797,44.51623039,46.73362885,51.77882805,51.86461449,44.51623039,44.51623039,51.77882805,46.49125137,49.15749664,46.49125137,50.84889183,51.24355583,61.02430305,52.76675034,50.84889183,50.84889183,61.02430305,51.63258781,57.38857956,51.63258781,45.73745537,43.62461662,44.01205788,48.25099945,44.17113304,45.16553116,46.796558,49.94501495,42.50488663,45.12049599,47.11370583,43.36373329,42.88357201,45.94621964,42.4633667,44.27743835,46.89453049,49.6410759,43.01757965,47.27171364,51.78540726,41.21085587,43.89339256,49.34064369,44.29320259,53.26622047,49.30146408,57.90759392,48.95720825,47.63587151
beta.F3,40.87504914,39.10884723,42.12103967,43.01800032,40.87504914,40.87504914,42.12103967,39.10884723,38.10087114,39.10884723,40.57187888,37.63748012,43.42363324,44.55906419,40.57187888,40.57187888,43.42363324,36.95962811,38.34786527,36.95962811,44.22325258,41.195755,45.59626007,43.59176961,44.22325258,44.22325258,45.59626007,40.17055186,39.28825244,40.17055186,40.35348567,35.24741689,39.67889651,36.60801158,34.96179558,34.33806055,37.8033123,39.83707215,37.2441965,39.43309728,42.54170429,34.18632973,36.64097606,35.19499902,36.35275022,36.04106314,38.52583133,36.60391942,36.72849201,37.10648649,36.14837747,35.23086941,40.48522758,38.34137782,36.30963471,37.74548575,39.38377661,40.22010781,36.99300985,38.65854275
beta.F4,41.5079468,39.75270664,42.39842796,45.11967468,41.5079468,41.5079468,42.39842796,39.75270664,39.05013533,39.75270664,40.7656075,35.46428069,43.120144,44.88809933,40.7656075,40.7656075,43.120144,37.14259181,38.87125902,37.14259181,44.86768891,38.83043469,45.56995751,44.43990763,44.86768891,44.86768891,45.56995751,39.88806859,39.92735201,39.88806859,42.04446546,35.96202188,40.40090034,38.16900478,37.0158973,37.34305651,38.76950466,40.21762175,37.57626982,39.04559281,41.58518847,37.14862599,38.00289076,36.67270829,36.06503262,35.29188908,39.7839563,37.80407513,36.9724746,37.64092266,38.43163109,36.00978907,39.93892389,36.71398376,37.13438909,42.22317348,39.71347293,43.22375769,37.57775935,38.67621983
beta.C3,41.18890504,39.21563092,42.09339804,43.40975784,41.18890504,41.18890504,42.09339804,39.21563092,38.88165216,39.21563092,40.68034509,32.98471075,42.42296219,43.69884233,40.68034509,40.68034509,42.42296219,36.20343377,39.6631693,36.20343377,44.22814762,38.93540304,46.38469651,43.15524056,44.22814762,44.22814762,46.38469651,39.5738145,40.91542266,39.5738145,38.28635126,32.71443446,37.67892478,35.75658731,29.97679436,31.07015015,37.10944165,38.62973628,33.64493123,36.4573284,37.27275848,32.70513568,34.98333942,35.29291804,30.59366069,29.70206709,37.57684926,34.68816269,33.64925878,34.599117,36.74168301,32.65472491,37.90134643,34.71558644,31.8059956,34.04754106,38.76038529,39.11346727,35.23701034,36.93922974
beta.C4,41.23643808,39.09731169,42.03592895,44.49619944,41.23643808,41.23643808,42.03592895,39.09731169,39.63625055,39.09731169,40.09802493,33.53636977,41.87417434,42.86719917,40.09802493,40.09802493,41.87417434,36.35279745,39.09415492,36.35279745,44.53413773,38.62067312,45.72837841,44.21885692,44.53413773,44.53413773,45.72837841,38.7666304,41.4166308,38.7666304,40.17585373,31.90411826,35.82836303,37.44673033,32.07984419,31.79961934,37.08728128,39.95171289,34.44904036,38.81336403,37.93836582,32.79553946,34.08078805,34.68089682,32.95041763,30.97702144,37.73040979,36.99985684,33.70786173,35.58357693,37.3702553,31.46826284,35.07106585,35.60831709,33.13940907,37.57327405,38.8500401,42.07214412,35.16492973,37.29052364
beta.O1,41.19187759,40.94871869,40.72872757,43.16249724,41.19187759,41.19187759,40.72872757,40.94871869,39.62522787,40.94871869,40.10481509,38.9599017,41.15620434,44.07011156,40.10481509,40.10481509,41.15620434,39.37970969,41.22223046,39.37970969,42.67968458,42.66446057,48.2654778,44.68090091,42.67968458,42.67968458,48.2654778,42.71611057,42.66580795,42.71611057,40.64531214,36.1564855,40.85569157,42.49881385,35.6311595,37.64268724,38.91950349,41.14265644,31.612119,38.95738714,40.67607285,37.13311274,38.81234573,41.58762326,39.46845234,37.5131335,39.58354165,39.52741971,30.37855109,38.46958205,39.32074087,36.63269615,41.15889706,41.47776637,37.0181629,40.9258976,40.43540764,44.78273235,36.14071566,39.59052467
beta.O2,40.55149774,41.03222219,41.84557634,44.03085293,40.55149774,40.55149774,41.84557634,41.03222219,39.76078269,41.03222219,39.99254675,39.17023176,42.06409656,43.68364783,39.99254675,39.99254675,42.06409656,38.77726151,41.12202106,38.77726151,43.37011023,42.08158964,48.47934925,44.34745665,43.37011023,43.37011023,48.47934925,42.27330006,43.28728272,42.27330006,40.28115531,35.57615892,39.47836595,39.7943996,34.23156144,37.3558174,38.72304939,41.67126285,35.11319088,38.90243418,39.50251321,37.76335896,36.98480651,38.75815964,35.46076573,36.81019604,39.51942405,40.13960995,34.92611936,38.0388178,39.40239345,35.52784269,41.05194103,38.4077972,35.59254708,40.92238381,40.75918759,45.74308822,37.64375457,39.30043378
gamma.F3,33.62606939,29.47028302,32.97633071,33.51548824,33.62606939,33.62606939,32.97633071,29.47028302,31.9686807,29.47028302,32.27744024,29.79349514,32.43411853,34.24862071,32.27744024,32.27744024,32.43411853,29.19836061,28.91659556,29.19836061,37.69784877,31.76848513,34.59699656,33.84611151,37.69784877,37.69784877,34.59699656,31.28415621,33.42587831,31.28415621,27.88810421,27.46257646,30.09798506,32.99920197,27.52996235,25.97415214,28.35461606,30.37467872,27.08086226,33.36197768,32.34050511,27.90699828,28.71991018,26.58844301,28.5909328,28.8203527,27.36571456,28.81610362,26.64247066,29.97092012,27.75442668,33.75353254,30.64799957,37.7526826,27.78857769,32.22737471,31.95967191,33.41681586,32.7509306,34.06246906
gamma.F4,34.01436785,30.67818777,35.32254554,35.52886141,34.01436785,34.01436785,35.32254554,30.67818777,34.35248956,30.67818777,32.45470464,28.54181351,32.55565531,34.61595211,32.45470464,32.45470464,32.55565531,29.5667387,29.16291493,29.5667387,37.13632732,29.92261369,36.58523265,34.43325322,37.13632732,37.13632732,36.58523265,29.69498925,35.95464815,29.69498925,29.77198597,27.34253616,30.46495792,31.21405686,29.00137104,30.94313821,27.88063912,30.56951353,27.13140339,30.92321214,28.71894597,29.09909295,28.56283398,26.38526969,28.25965101,27.17387324,28.86243193,29.42315021,27.0776215,30.3693441,28.99868497,33.08570728,29.01915082,30.48841816,27.73785901,39.62824785,31.20287359,37.65327541,28.66863138,33.48552439
gamma.C3,33.04115717,27.98149931,32.4522665,35.29242586,33.04115717,33.04115717,32.4522665,27.98149931,33.16780448,27.98149931,32.19269759,26.07696504,31.16094191,34.20706302,32.19269759,32.19269759,31.16094191,28.06632631,29.97336833,28.06632631,35.26373206,28.61801463,34.27592837,33.07360922,35.26373206,35.26373206,34.27592837,27.64201944,33.35982973,27.64201944,27.6010537,25.0311996,30.68388127,28.3536972,23.29231258,24.40253201,26.83660791,29.77866586,25.28373246,28.23568997,27.18184505,25.90627757,27.96312989,25.75457901,24.43047543,23.01297321,26.54298871,26.29873015,24.92777964,28.44879852,27.94625793,28.01137396,28.06703981,29.20785681,23.90583318,30.7160316,30.77574569,30.19548783,27.28397598,31.82967692
gamma.C4,33.01668341,29.35974988,34.11686357,34.89402578,33.01668341,33.01668341,34.11686357,29.35974988,36.17945667,29.35974988,31.95698223,26.75597577,31.9022451,33.18062094,31.95698223,31.95698223,31.9022451,28.61671863,29.72853205,28.61671863,36.23409345,29.32740023,36.05486406,34.14885606,36.23409345,36.23409345,36.05486406,27.17525639,37.25130853,27.17525639,29.38963,25.41801807,30.64099638,30.17667033,25.12133319,24.62043012,27.99000214,30.78620086,25.17472683,31.05237764,27.73718995,26.44800763,28.92055242,25.58571224,26.54642383,23.88937598,26.59093755,27.31353681,25.32427351,28.86267467,27.88738874,27.5348214,26.24242272,31.52783701,24.73374655,36.02608195,30.30222051,33.29885381,25.92067666,32.16053795
gamma.O1,32.58033695,28.44931978,31.71166598,33.54299783,32.58033695,32.58033695,31.71166598,28.44931978,30.11636329,28.44931978,31.67057652,29.02950172,30.96265021,33.62740879,31.67057652,31.67057652,30.96265021,29.50123639,30.79906807,29.50123639,33.89348022,31.5786285,35.8309486,33.26186612,33.89348022,33.89348022,35.8309486,28.49938876,32.63832215,28.49938876,31.59303451,27.8709149,31.71848585,31.4043538,26.42898293,26.83237008,28.25125058,30.70188366,28.15570113,29.29111638,30.28586029,27.11439614,28.1780166,28.60300556,31.80378145,25.63929713,28.46920789,28.63714214,27.36815101,29.9524918,29.51598517,30.36163489,31.33128866,32.83174896,28.6902191,30.30302092,29.62567652,34.65270646,26.85527848,33.48723287
gamma.O2,31.90764565,30.10324641,33.01000254,35.05571242,31.90764565,31.90764565,33.01000254,30.10324641,30.23635888,30.10324641,31.41123548,29.18866073,32.05327666,33.17521706,31.41123548,31.41123548,32.05327666,29.06987296,30.83094493,29.06987296,34.66420256,31.12412061,36.15018336,33.58824427,34.66420256,34.66420256,36.15018336,28.79586735,32.87090969,28.79586735,32.7456046,29.33235664,30.08904167,30.60926067,24.97214065,27.19785849,27.08629822,31.00978739,26.45951,29.15182813,30.64394139,30.3001705,28.08679935,27.92494753,26.85927614,25.51681634,28.47257826,29.06807976,26.48726179,29.805529,31.30570013,30.20846916,34.28093476,30.72504539,26.25979202,30.42819131,28.72382245,32.86348468,27.01916091,33.4476436
