---- Correlation between relPower and Comorbidities ---- 

|Y        |X                   |Band  | N.healthy| N.diseased|      p|  p.adj|p.signif |
|relPower |Nightmare           |alpha |       141|         11| 0.5130| 0.8933|ns       |
|relPower |Nightmare           |sigma |       141|         11| 0.9210| 0.9911|ns       |
|relPower |Nightmare           |beta  |       141|         11| 0.2210| 0.8398|ns       |
|relPower |Nightmare           |gamma |       141|         11| 0.1590| 0.8061|ns       |
|relPower |nocturia            |delta |        86|         66| 0.8450| 0.9911|ns       |
|relPower |nocturia            |theta |        86|         66| 0.4190| 0.8884|ns       |
|relPower |nocturia            |alpha |        86|         66| 0.8020| 0.9831|ns       |
|relPower |nocturia            |sigma |        86|         66| 0.2500| 0.8636|ns       |
|relPower |nocturia            |beta  |        86|         66| 0.8800| 0.9911|ns       |
|relPower |nocturia            |gamma |        86|         66| 0.9900| 0.9988|ns       |
|relPower |plm                 |delta |       112|         40| 0.2980| 0.8711|ns       |
|relPower |plm                 |theta |       112|         40| 0.4300| 0.8884|ns       |
|relPower |plm                 |alpha |       112|         40| 0.0300| 0.3800|*        |
|relPower |plm                 |sigma |       112|         40| 0.9580| 0.9911|ns       |
|relPower |plm                 |beta  |       112|         40| 0.0578| 0.5491|ns       |
|relPower |plm                 |gamma |       112|         40| 0.9650| 0.9911|ns       |
|relPower |pnd                 |delta |        99|         53| 0.9600| 0.9911|ns       |
|relPower |pnd                 |theta |        99|         53| 0.7990| 0.9831|ns       |
|relPower |pnd                 |alpha |        99|         53| 0.7250| 0.9500|ns       |
|relPower |pnd                 |sigma |        99|         53| 0.5440| 0.9039|ns       |
|relPower |pnd                 |beta  |        99|         53| 0.9540| 0.9911|ns       |
|relPower |pnd                 |gamma |        99|         53| 0.8830| 0.9911|ns       |
|relPower |snore               |delta |         2|        150| 0.1770| 0.8061|ns       |
|relPower |snore               |theta |         2|        150| 0.0221| 0.3800|*        |
|relPower |snore               |alpha |         2|        150| 0.2970| 0.8711|ns       |
|relPower |snore               |sigma |         2|        150| 0.8650| 0.9911|ns       |
|relPower |snore               |beta  |         2|        150| 0.5550| 0.9039|ns       |
|relPower |snore               |gamma |         2|        150| 0.0251| 0.3800|*        |
|relPower |somnolence          |delta |        57|         95| 0.7930| 0.9831|ns       |
|relPower |somnolence          |theta |        57|         95| 0.8020| 0.9831|ns       |
|relPower |somnolence          |alpha |        57|         95| 0.3650| 0.8748|ns       |
|relPower |somnolence          |sigma |        57|         95| 0.8310| 0.9911|ns       |
|relPower |somnolence          |beta  |        57|         95| 0.5250| 0.8933|ns       |
|relPower |somnolence          |gamma |        57|         95| 0.1150| 0.7712|ns       |
